,date,rank,song,artist,last-week,peak-rank,weeks-on-board
80160,2006-07-01,61,Holla At Me,"DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross & Pitbull",59.0,59,2
80258,2006-06-24,59,Holla At Me,"DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross & Pitbull",,59,1
82395,2006-01-28,96,Hit The Floor,Twista Featuring Pitbull,99.0,94,6
82498,2006-01-21,99,Hit The Floor,Twista Featuring Pitbull,,94,5
82590,2006-01-14,91,Shake,Ying Yang Twins Featuring Pitbull,64.0,41,20
82663,2006-01-07,64,Shake,Ying Yang Twins Featuring Pitbull,71.0,41,19
82693,2006-01-07,94,Hit The Floor,Twista Featuring Pitbull,96.0,94,4
82770,2005-12-31,71,Shake,Ying Yang Twins Featuring Pitbull,63.0,41,18
82795,2005-12-31,96,Hit The Floor,Twista Featuring Pitbull,100.0,95,3
82862,2005-12-24,63,Shake,Ying Yang Twins Featuring Pitbull,58.0,41,17
82899,2005-12-24,100,Hit The Floor,Twista Featuring Pitbull,95.0,95,2
82957,2005-12-17,58,Shake,Ying Yang Twins Featuring Pitbull,52.0,41,16
82994,2005-12-17,95,Hit The Floor,Twista Featuring Pitbull,,95,1
83051,2005-12-10,52,Shake,Ying Yang Twins Featuring Pitbull,48.0,41,15
83147,2005-12-03,48,Shake,Ying Yang Twins Featuring Pitbull,53.0,41,14
83252,2005-11-26,53,Shake,Ying Yang Twins Featuring Pitbull,41.0,41,13
83340,2005-11-19,41,Shake,Ying Yang Twins Featuring Pitbull,44.0,41,12
83443,2005-11-12,44,Shake,Ying Yang Twins Featuring Pitbull,48.0,44,11
83547,2005-11-05,48,Shake,Ying Yang Twins Featuring Pitbull,47.0,46,10
83646,2005-10-29,47,Shake,Ying Yang Twins Featuring Pitbull,46.0,46,9
83745,2005-10-22,46,Shake,Ying Yang Twins Featuring Pitbull,61.0,46,8
83860,2005-10-15,61,Shake,Ying Yang Twins Featuring Pitbull,67.0,61,7
83966,2005-10-08,67,Shake,Ying Yang Twins Featuring Pitbull,72.0,67,6
84071,2005-10-01,72,Shake,Ying Yang Twins Featuring Pitbull,77.0,72,5
84176,2005-09-24,77,Shake,Ying Yang Twins Featuring Pitbull,89.0,77,4
84288,2005-09-17,89,Shake,Ying Yang Twins Featuring Pitbull,95.0,89,3
84394,2005-09-10,95,Shake,Ying Yang Twins Featuring Pitbull,94.0,94,2
84493,2005-09-03,94,Shake,Ying Yang Twins Featuring Pitbull,,94,1
89673,2004-09-04,74,Culo,Pitbull Featuring Lil Jon,58.0,32,20
89757,2004-08-28,58,Culo,Pitbull Featuring Lil Jon,67.0,32,19
89866,2004-08-21,67,Culo,Pitbull Featuring Lil Jon,71.0,32,18
89970,2004-08-14,71,Culo,Pitbull Featuring Lil Jon,67.0,32,17
90066,2004-08-07,67,Culo,Pitbull Featuring Lil Jon,69.0,32,16
90168,2004-07-31,69,Culo,Pitbull Featuring Lil Jon,61.0,32,15
90260,2004-07-24,61,Culo,Pitbull Featuring Lil Jon,52.0,32,14
90351,2004-07-17,52,Culo,Pitbull Featuring Lil Jon,54.0,32,13
90453,2004-07-10,54,Culo,Pitbull Featuring Lil Jon,45.0,32,12
90544,2004-07-03,45,Culo,Pitbull Featuring Lil Jon,45.0,32,11
90644,2004-06-26,45,Culo,Pitbull Featuring Lil Jon,42.0,32,10
90741,2004-06-19,42,Culo,Pitbull Featuring Lil Jon,32.0,32,9
90831,2004-06-12,32,Culo,Pitbull Featuring Lil Jon,37.0,32,8
90936,2004-06-05,37,Culo,Pitbull Featuring Lil Jon,53.0,37,7
91052,2004-05-29,53,Culo,Pitbull Featuring Lil Jon,57.0,53,6
91156,2004-05-22,57,Culo,Pitbull Featuring Lil Jon,61.0,57,5
91260,2004-05-15,61,Culo,Pitbull Featuring Lil Jon,66.0,61,4
91365,2004-05-08,66,Culo,Pitbull Featuring Lil Jon,77.0,66,3
91476,2004-05-01,77,Culo,Pitbull Featuring Lil Jon,84.0,77,2
91583,2004-04-24,84,Culo,Pitbull Featuring Lil Jon,,84,1
